"filename", "language", "Markdown", "PowerShell", "TypeScript", "Ini", "JavaScript", "TypeScript JSX", "JSON", "JSON with Comments", "Shell Script", "YAML", "Python", "toml", "pip requirements", "XML", "Docker", "JSON Lines", "PostCSS", "HTML", "Ignore", "comment", "blank", "total"
"f:\animate-serial\apps\anyreason\docker\postgres\init\00-create-app-user.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"f:\animate-serial\apps\anyreason\docs\plans\2026-02-11-architecture-upgrade-spec.md", "Markdown", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 67
"f:\animate-serial\apps\anyreason\docs\plans\2026-02-14-ai-tools-ssot-context-optimization.md", "Markdown", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 276
"f:\animate-serial\apps\anyreason\docs\plans\2026-02-17-剧本入口接入-ai-scene-ux-重构方案.md", "Markdown", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 231
"f:\animate-serial\apps\anyreason\docs\plans\2026-02-18-ai-chatbox-session-design.md", "Markdown", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 249
"f:\animate-serial\apps\anyreason\docs\plans\2026-02-20-@mention-参考图选择器实现说明.md", "Markdown", 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 350
"f:\animate-serial\apps\anyreason\docs\plans\2026-02-20-ai-model-config-多模态测试-豆包-seedream45.md", "Markdown", 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 251
"f:\animate-serial\apps\anyreason\docs\plans\2026-02-20-创作工坊-无限画布-方案A-设计.md", "Markdown", 471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 610
"f:\animate-serial\apps\anyreason\docs\plans\2026-02-20-统一模型测试 UI 设计说明.md", "Markdown", 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 255
"f:\animate-serial\apps\anyreason\docs\reports\2026-02-06-用户-角色-权限-审计-开发测试报告.md", "Markdown", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 146
"f:\animate-serial\apps\anyreason\docs\reports\2026-02-14-agent-内置工具输入说明.md", "Markdown", 369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 470
"f:\animate-serial\apps\anyreason\docs\reports\markdown-为核心的提示词设计规范.md", "Markdown", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 133
"f:\animate-serial\apps\anyreason\docs\数据库设计规范.md", "Markdown", 611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 780
"f:\animate-serial\apps\anyreason\fastapi_backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 10, 12, 35
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic.ini", "Ini", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 119
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\env.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 29, 30, 113
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\0b1c2d3e4f5a_ai_prompt_presets.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 72
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\1234abcd5678_agent_platform_tables.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 176
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\1c2d3e4f5a6b_tasks_and_task_events.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 129
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\2ab7f3f1e2d4_asset_tags_and_relations.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 104
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\2d3e4f5a6b7c_episode_doc_node_id.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 44
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\3a5c7e9b1d2f_add_image_prompts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 46
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\3d4e5f6a7b8c_add_scripts_table.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 67
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\3e4f5a6b7c8d_ai_manufacturers_and_models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 85
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\402d067a8b92_added_user_table.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 44
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\4b5c6d7e8f9a_ai_chat_sessions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 74
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\4c1d2e3f4a5b_episode_script_full_text.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 27
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\5b6c7d8e9f0a_asset_bindings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 114
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\5d6e7f8a9b0c_ai_model_test_sessions_and_image_runs.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 69
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\6c7d8e9f0a1b_merge_heads.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 26
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\6e7f8a9b0c1d_ai_model_test_image_run_files.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 51
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\7c2f0f2a1d9e_add_manju_script_hierarchy_tables.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 326
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\7f8a9b0c1d2e_ai_model_test_session_attachments.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 35
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\8a1b2c3d4e5f_scripts_soft_delete.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 43
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\9b8c7d6e5f4a_merge_heads_cc33_f2a3.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 25
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\9f0c1b8d1a2e_asset_evr_and_shot_asset_relations.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 63, 23, 304
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\a1b2c3d4e5f7_episode_result_roots.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 47
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\a7b8c9d0e1f2_llm_custom_services.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 48
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\aa11bb22cc33_ai_model_configs_and_bindings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 74
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\b389592974f8_add_item_model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 44
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\b9c8d7e6f5a4_merge_heads.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 22
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\bb22cc33dd44_ai_usage_events.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 54
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\c1a2b3c4d5e6_credits_and_agents.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 83
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\c1a2b3c4d5e7_agents_channel_and_capabilities.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 53
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\c9a3b1d4e2f7_llm_virtual_keys.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 79
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\cc33dd44ee55_agents_bind_ai_model_configs.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 54
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\d0c1b2a3f4e5_scripts_aspect_ratio_style_and_panorama.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 43
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\d3f1a9c7b2e1_rbac_and_audit_tables.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 210
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\d8e7c6b5a4f3_llm_usage_tables.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 121
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\e1a2b3c4d5f6_file_nodes_thumbnails.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 37
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\e1f2d3c4b5a6_llm_virtual_key_encrypted_token.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 28
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\e2d3c4b5a6f8_agents_purpose.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 45
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\e4a1c2d3f4b5_user_avatar_fields.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 28
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\e8c1d2a3b4c5_agent_prompt_versions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 55
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\f0a1b2c3d4e6_scripts_panorama_thumbnails.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 37
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\f1b2c3d4e5f6_user_disable_flag.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 29
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\f2a3b4c5d6e7_agents_purpose_extraction_split.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 55
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\f7a6b5c4d3e2_builtin_prompt_version_model_config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 50
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\fedcba987654_merge_heads_agent_platform.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 25
"f:\animate-serial\apps\anyreason\fastapi_backend\alembic_migrations\versions\ffffffffffff_architecture_upgrade.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 23, 22, 162
"f:\animate-serial\apps\anyreason\fastapi_backend\api\index.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\animate-serial\apps\anyreason\fastapi_backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\factory.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\openai_compat_patch.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 54
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\providers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\providers\doubao_seedream_image_provider.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 57
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\providers\gemini_image_provider.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 71
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\providers\kling_common.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 51
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\providers\kling_image_provider.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 78
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\providers\kling_video_provider.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 105
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\providers\openai_image_provider.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 59
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\providers\openai_text_provider.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 545, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 582
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_gateway\types.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_runtime\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_runtime\chatbox_deps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_runtime\pydanticai_adapter.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_runtime\pydanticai_model_factory.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_scene_test\deps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_scene_test\runner.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 172
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_scene_test\service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 55
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_scene_test\tool_registry.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_scene_test\tools.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 906
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_tools\apply_plan.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_tools\chatbox_tools.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 353
"f:\animate-serial\apps\anyreason\fastapi_backend\app\ai_tools\registry.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\router.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\v1\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\v1\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 662, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 738
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\v1\admin_builtin_agents.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 223
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\v1\agents.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 331
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\v1\ai_asset_extraction.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 94
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\v1\ai_catalog.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33, 290
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\v1\ai_chat_sessions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 364
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\v1\ai_context.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 46
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\v1\ai_image.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\v1\ai_model_configs.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 488
"f:\animate-serial\apps\anyreason\fastapi_backend\app\api\v1\ai_model_test_sessions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 294
